               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.016026,           0.0082439,           0.0050043,             0.97488,             0.98132,             0.98835,             0.90494,            0.010514,           0.0048092,           0.0021837,             0.00307,             0.00307,             0.00307
                  86,            0.015928,           0.0082133,           0.0048505,             0.97397,             0.98192,             0.98837,             0.90527,            0.010504,           0.0048021,           0.0021721,           0.0029875,           0.0029875,           0.0029875
                  87,            0.015532,           0.0080861,           0.0047437,             0.97493,             0.98163,             0.98842,             0.90565,             0.01051,           0.0047969,           0.0021608,            0.002905,            0.002905,            0.002905
                  88,            0.015591,           0.0081448,           0.0048631,             0.97529,             0.98134,             0.98845,             0.90585,            0.010496,           0.0047894,           0.0021492,           0.0028225,           0.0028225,           0.0028225
                  89,             0.01552,           0.0081051,           0.0046895,             0.97499,              0.9818,             0.98847,             0.90603,              0.0105,           0.0047843,           0.0021379,             0.00274,             0.00274,             0.00274
                  90,            0.015361,           0.0080034,           0.0046737,              0.9747,             0.98187,             0.98853,             0.90603,              0.0105,           0.0047785,           0.0021263,           0.0026575,           0.0026575,           0.0026575
                  91,            0.015277,           0.0079482,           0.0046666,             0.97479,             0.98141,             0.98856,             0.90647,            0.010495,           0.0047735,           0.0021152,            0.002575,            0.002575,            0.002575
                  92,            0.015163,           0.0078344,           0.0045461,             0.97483,             0.98134,             0.98857,             0.90646,            0.010495,           0.0047689,           0.0021049,           0.0024925,           0.0024925,           0.0024925
                  93,            0.015054,           0.0078106,           0.0044416,             0.97482,              0.9812,             0.98859,             0.90647,            0.010486,           0.0047632,           0.0020937,             0.00241,             0.00241,             0.00241
                  94,            0.014709,           0.0077581,           0.0044442,             0.97584,             0.98021,             0.98862,             0.90673,            0.010483,           0.0047585,           0.0020826,           0.0023275,           0.0023275,           0.0023275
